scalelog_tail1_cap1.0_thr10.0_dual1_w10.0_tau0.3_pen15.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_10.0_cattau_0.3_catpenalty_15.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2568,348.22439999999995,11.9812,3.2296,91.423
f6-f9,1.265,1.0402,1.2358,1.2274,1.1922
f10-f14,1.0,1.1127999999999998,1.3126,1.755,1.2952
f15-f19,1.6864,2.6102,4.263,1.9118,2.6178
f20-f24,3.7982,34.411,1.2479999999999998,1.8772,10.3336
all,2.0316,80.66479999999999,4.123400000000001,2.0324,22.2132
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.081,1.048,1.137,1.201,1.068
f10-f14,1.0,1.0,1.002,1.013,1.0
f15-f19,1.542,2.195,2.232,1.0,1.819
f20-f24,1.607,1.672,1.0,1.477,1.477
all,1.457,1.359,1.052,1.201,1.201
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,400.0628,12.829399999999998,3.5598,98.7912
f6-f9,1.2762,1.0404,1.2268,1.1869999999999998,1.1834
f10-f14,1.1878,1.5352,1.3972,1.4112,1.3796
f15-f19,8.384800000000002,3.006,4.437399999999999,1.9418,4.5366
f20-f24,19.0524,54.1072,1.6311999999999998,1.7458000000000002,18.9068
all,6.774800000000001,93.9692,4.3486,2.0398,26.2746
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.684,1.0,1.0,1.477
all,1.535,1.672,1.052,1.201,1.274
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.7088,341.4978,16.278,4.812,91.3244
f6-f9,1.63975,1.8085,1.81275,2.276,1.88425
f10-f14,1.5676,2.157,2.7092,2.575,2.2522
f15-f19,2.9858,3.5188,4.6736,1.6636,3.2104
f20-f24,20.5844,53.0206,1.3254,2.1916,19.2806
all,6.074666666666668,83.67520833333333,5.507583333333333,2.721458333333333,24.494791666666668
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,3.79,4.014,2.742
f6-f9,1.081,1.062,1.274,1.504,1.201
f10-f14,1.0,1.012,1.052,1.355,1.013
f15-f19,1.727,2.096,2.379,1.0,1.989
f20-f24,2.703,1.672,1.0,1.0,1.477
all,1.727,1.925,1.55,1.477,1.625

scalelog_tail1_cap1.0_thr10.0_dual1_w10.0_tau0.3_pen5.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_10.0_cattau_0.3_catpenalty_5.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,355.233,11.9948,3.103,93.1454
f6-f9,1.2576,1.0568000000000002,1.2386,1.2276,1.1952000000000005
f10-f14,1.1502,1.3004,1.5482,1.9114,1.4774
f15-f19,1.7782,2.6366000000000005,4.253400000000001,1.969,2.6594
f20-f24,3.6126,35.4586,148.145,1.7079999999999995,47.2312
all,2.041,82.39059999999999,34.77759999999999,2.0154,30.3062
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.0,1.048,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.477
all,1.457,1.606,1.052,1.28,1.28
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.5318,400.0988,12.8774,3.4824,98.8198
f6-f9,1.2472,1.057,1.213,1.2248,1.1864
f10-f14,1.0152,1.1058,1.2088,1.5257999999999998,1.2086
f15-f19,8.2324,2.8242,4.3286,1.8804,4.419600000000001
f20-f24,19.6244,56.1662,1.4788,1.5944,19.247000000000003
all,6.4544000000000015,94.26879999999998,4.2620000000000005,2.0036,26.2346
Median
Problem Group,2,3,5,10,all
f1-f5,2.742,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.002,1.0,1.0
f15-f19,1.542,2.195,2.232,1.0,1.727
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.201,1.201
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.3358,348.2842,12.365199999999998,4.6094,91.8988
f6-f9,2.299,1.82,1.7045,2.033,1.96425
f10-f14,1.8018,2.1852,2.0408,2.0556,2.021
f15-f19,7.077000000000001,3.6696,4.5786,1.6740000000000002,4.2498000000000005
f20-f24,16.741799999999998,50.9254,1.4701999999999995,8.648399999999999,19.4466
all,6.207416666666666,84.69175,4.5455,3.877875,24.83075
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,2.183,4.014,2.638
f6-f9,1.161,1.062,1.274,1.201,1.161
f10-f14,1.0,1.012,1.052,1.355,1.013
f15-f19,1.542,2.195,2.379,1.0,1.756
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.542,1.756,1.274,1.477,1.542

scalelog_tail1_cap1.0_thr10.0_dual1_w5.0_tau0.3_pen10.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_5.0_cattau_0.3_catpenalty_10.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2568,320.208,12.038799999999998,3.4436,84.487
f6-f9,1.218,1.0486,1.2634,1.3178,1.212
f10-f14,1.0,1.4016000000000002,1.4709999999999996,1.6328,1.3763999999999998
f15-f19,10.7066,2.7380000000000004,4.300400000000001,2.2962,5.0104
f20-f24,5.6634,38.3048,1.3402,1.777,11.7714
all,4.2918,75.7276,4.2004,2.1258,21.5864
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.081,1.048,1.205,1.201,1.068
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.239,1.477
all,1.457,1.606,1.052,1.204,1.28
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,400.0628,12.8398,3.4268,98.7628
f6-f9,1.2456,1.0754,1.211,1.2272,1.1894
f10-f14,1.026,1.27,1.4564,1.4866,1.3098
f15-f19,21.2592,2.6292,4.5534,2.1696,7.654000000000001
f20-f24,5.2144,34.3402,148.1006,1.8186,47.1432
all,6.365799999999999,89.70779999999999,36.3538,2.0972,32.7556
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.201,1.274
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.3172,341.413,12.6912,4.739800000000001,90.2904
f6-f9,3.9375,918.536,735.31875,2386.38025,1011.04325
f10-f14,1.6114000000000002,1.5186,1.833,2.0942,1.764
f15-f19,14.9994,3.5208000000000004,5.1492,2.2092,6.4696
f20-f24,20.7382,55.82339999999999,295.1802,149.7522,130.3738
all,8.920041666666666,236.89679166666667,188.147625,430.8124166666667,216.19425
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,3.79,4.014,2.742
f6-f9,1.081,1.062,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.355,1.012
f15-f19,1.727,2.195,2.232,1.0,2.096
f20-f24,4.844,1.684,1.0,1.0,1.639
all,1.597,1.684,1.274,1.355,1.542

