Mean
AS
Problem Group,2,3,5,10,all
f1-f5,0.8722083333333334,248.8284166666667,127.59991666666666,428.97208333333333,201.56816666666668
f6-f9,94.58825,890.0598333333334,611.701625,305.9723333333333,475.5805416666667
f10-f14,202.00616666666667,68.585,1070.5287083333333,397.9135416666666,434.7583333333334
f15-f19,918.3247500000001,2507.4544583333336,979.2449583333333,795.304,1300.082
f20-f24,214.57095833333335,980.3061666666666,1773.602,1498.4037083333333,1116.7207083333333
all,1430.3623333333335,4695.233875,4562.6772083333335,3426.5656666666673,3528.70975

VBS
Problem Group,2,3,5,10,all
f1-f5,1.0,1.0,1.0,1.0,1.0
f6-f9,1.0,1.0,1.0,1.0,1.0
f10-f14,1.0,1.0,1.0,1.0,1.0
f15-f19,1.0,1.0,1.0,1.0,1.0
f20-f24,1.0,1.0,1.0,1.0,1.0
all,1.0,1.0,1.0,1.0,1.0

SBS
Problem Group,2,3,5,10,all
f1-f5,1.217,1.337,1.389,1.595,1.385
f6-f9,1.532,1.899,2.406,2.156,2.516
f10-f14,1.0,1.0,1.014,1.071,1.022
f15-f19,7.663,1.552,3.051,1.691,5.239
f20-f24,2.109,1.933,7.671,23.644,35.768
all,6.025,4.807,6.517,6.851,30.373

Gap_Closure
Problem Group,2,3,5,10,all
f1-f5,1.589,-734.396,-324.45,-718.281,-519.956
f6-f9,-174.918,-987.943,-433.354,-262.817,-312.048
f10-f14,0.0,0.0,-76393.908,-5589.332,-19715.288
f15-f19,-136.674,-4539.678,-475.96,-1148.499,-305.46
f20-f24,-191.58,-1048.631,-264.718,-65.128,-31.09
all,-283.45,-1232.053,-825.84,-584.467,-119.1

Median
AS
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,3.79,4.014,2.638
f6-f9,1.597,1.068,1.137,1.201,1.199
f10-f14,1.0,1.0,1.052,1.355,1.014
f15-f19,1.727,2.096,2.379,1.092,1.989
f20-f24,1.607,1.836,1.15,1.0,1.394
all,1.607,1.925,1.639,1.362,1.672

VBS
Problem Group,2,3,5,10,all
f1-f5,1.0,1.0,1.0,1.0,1.0
f6-f9,1.0,1.0,1.0,1.0,1.0
f10-f14,1.0,1.0,1.0,1.0,1.0
f15-f19,1.0,1.0,1.0,1.0,1.0
f20-f24,1.0,1.0,1.0,1.0,1.0
all,1.0,1.0,1.0,1.0,1.0

SBS
Problem Group,2,3,5,10,all
f1-f5,1.0,1.148,1.072,1.223,1.11
f6-f9,1.299,1.034,1.17,1.152,1.127
f10-f14,1.0,1.0,1.0,1.0,1.0
f15-f19,2.074,1.0,1.161,1.0,1.56
f20-f24,1.394,1.321,1.218,2.187,1.678
all,1.584,1.805,2.322,1.804,2.067

Gap_Closure
Problem Group,2,3,5,10,all
f1-f5,0.0,-10.104,-37.536,-12.502,-13.898
f6-f9,-1.0,-1.0,0.193,-0.327,-0.568
f10-f14,1.0,1.0,0.0,0.0,0.0
f15-f19,0.323,0.0,-7.576,0.0,-0.764
f20-f24,-0.54,-1.602,0.313,1.0,0.419
all,-0.039,-0.15,0.516,0.55,0.37

Accuracies
Problem Group,2,3,5,10,all
f1-f5,0.03333333333333333,0.005833333333333334,0.010833333333333334,0.006666666666666667,0.014166666666666666
f6-f9,0.023333333333333334,0.004166666666666667,0.047499999999999994,0.06833333333333334,0.035833333333333335
f10-f14,0.11666666666666668,0.10083333333333334,0.03916666666666667,0.05666666666666667,0.07833333333333332
f15-f19,0.030833333333333334,0.0,0.06,0.10333333333333333,0.04854166666666667
f20-f24,0.05833333333333333,0.03666666666666667,0.05833333333333333,0.14666666666666667,0.075
all,0.26250000000000007,0.14750000000000005,0.21583333333333332,0.38166666666666665,0.251875

F1
Problem Group,2,3,5,10,all
f1-f5,0.003958333333333334,0.0008333333333333334,0.0015833333333333333,0.0009583333333333333,0.004625
f6-f9,0.0028333333333333335,0.000625,0.004958333333333333,0.006583333333333333,0.007124999999999999
f10-f14,0.012000000000000002,0.009875,0.0040416666666666665,0.006000000000000001,0.009958333333333333
f15-f19,0.003833333333333333,0.0,0.006166666666666667,0.009291666666666669,0.010125
f20-f24,0.005750000000000001,0.004583333333333333,0.005875000000000001,0.01325,0.01883333333333333
all,0.028375000000000008,0.015916666666666666,0.022625000000000003,0.03608333333333333,0.05066666666666666

Pick_Rate
,rate
HMLSL_pal_noiseless,0.27125
HCMA_loshchilov_noiseless,0.24958333333333332
M_LSL_pal_noiseless,0.106875
OQNLP_pal_noiseless,0.08979166666666667
fmincon_pal_noiseless,0.07875
CMA-CSA_Atamna,0.055625
IPOP400D_auger_noiseless,0.04083333333333333
BrentSTEPrr_Posik,0.03625
MCS_huyer_noiseless,0.029375
BrentSTEPqi_Posik,0.02375
fminunc_pal_noiseless,0.014166666666666666
SMAC-BBOB_hutter_noiseless,0.00375

VBS_Pick_Rate
true_alg,rate
HMLSL_pal_noiseless,0.2708333333333333
HCMA_loshchilov_noiseless,0.14583333333333334
CMA-CSA_Atamna,0.07291666666666667
IPOP400D_auger_noiseless,0.07291666666666667
fminunc_pal_noiseless,0.0625
fmincon_pal_noiseless,0.0625
OQNLP_pal_noiseless,0.0625
BrentSTEPqi_Posik,0.0625
BrentSTEPrr_Posik,0.0625
SMAC-BBOB_hutter_noiseless,0.052083333333333336
MCS_huyer_noiseless,0.041666666666666664
M_LSL_pal_noiseless,0.03125
